linguagem,tipo_teste,dimensao,tempo
java,mult_matr,100,115
java,mult_matr,100,127
java,mult_matr,100,103
java,mult_matr,100,125
java,mult_matr,100,103
java,mult_matr,500,264
java,mult_matr,500,238
java,mult_matr,500,248
java,mult_matr,500,276
java,mult_matr,500,255
java,mult_matr,1000,1174
java,mult_matr,1000,1199
java,mult_matr,1000,1145
java,mult_matr,1000,1408
java,mult_matr,1000,1539
java,mult_matr,1500,4150
java,mult_matr,1500,4005
java,mult_matr,1500,3572
java,mult_matr,1500,3423
java,mult_matr,1500,3668
java,mult_matr,2000,14494
java,mult_matr,2000,8843
java,mult_matr,2000,8010
java,mult_matr,2000,17612
java,mult_matr,2000,8293
c,mult_matr,100,5
c,mult_matr,100,4
c,mult_matr,100,4
c,mult_matr,100,9
c,mult_matr,100,10
c,mult_matr,500,416
c,mult_matr,500,406
c,mult_matr,500,411
c,mult_matr,500,441
c,mult_matr,500,434
c,mult_matr,1000,3334
c,mult_matr,1000,3423
c,mult_matr,1000,3454
c,mult_matr,1000,3415
c,mult_matr,1000,3467
c,mult_matr,1500,11651
c,mult_matr,1500,11244
c,mult_matr,1500,11167
c,mult_matr,1500,11455
c,mult_matr,1500,12203
c,mult_matr,2000,26671
c,mult_matr,2000,26779
c,mult_matr,2000,28813
c,mult_matr,2000,26861
c,mult_matr,2000,27121
lua,mult_matr.lua,100,21
lua,mult_matr.lua,100,24
lua,mult_matr.lua,100,54
lua,mult_matr.lua,100,23
lua,mult_matr.lua,100,54
lua,mult_matr.lua,500,2394
lua,mult_matr.lua,500,2423
lua,mult_matr.lua,500,2308
lua,mult_matr.lua,500,2328
lua,mult_matr.lua,500,2189
lua,mult_matr.lua,1000,19054
lua,mult_matr.lua,1000,18099
lua,mult_matr.lua,1000,17767
lua,mult_matr.lua,1000,17911
lua,mult_matr.lua,1000,17812
lua,mult_matr.lua,1500,4787
lua,mult_matr.lua,1500,4440
lua,mult_matr.lua,1500,4671
lua,mult_matr.lua,1500,4973
lua,mult_matr.lua,1500,1402
lua,mult_matr.lua,2000,29572
lua,mult_matr.lua,2000,30503
lua,mult_matr.lua,2000,36955
lua,mult_matr.lua,2000,29535
lua,mult_matr.lua,2000,31712
